sentiment,latitude,longitude
0.35,51.505913,-0.017345
0.6000000000000001,51.505887,-0.019203
0,51.505887,-0.019203
0.3333333333333333,51.505887,-0.019203
0,51.505887,-0.019203
0,51.505887,-0.019203
0.5,51.505887,-0.019203
0.75,51.505887,-0.019203
0.25,51.505887,-0.019203
0,51.505887,-0.019203
1,51.505887,-0.019203
0,51.505887,-0.019203
1,51.505887,-0.019203
0,51.514807,0.007937
0.2,51.514807,0.007937
-0.105555556,51.514807,0.007937
0.78,51.506212,-0.017809
0.8,51.506204,-0.019
0.25,51.506204,-0.019
0.6,51.505286,-0.01982
0,51.505286,-0.01982
0.5,51.50603,-0.017056
0,51.50603,-0.017056
0,51.50551,-0.019344
0,51.505957,-0.019397
0,51.511709,-0.011421
0,51.511709,-0.011421
0.25,51.509612,-0.017644
0,51.505497,-0.016651
0.25,51.505497,-0.016651
0,51.505497,-0.016651
0.8,51.505497,-0.016651
0,51.505497,-0.016651
0,51.505497,-0.016651
0,51.505497,-0.016651
0,51.505497,-0.016651
0,51.505497,-0.016651
0.4,51.505497,-0.016651
0,51.505497,-0.016651
0,51.505497,-0.016651
0.5,51.505497,-0.016651
0,51.505497,-0.016651
0.5,51.505497,-0.016651
0.3672077922077922,51.505497,-0.016651
0.9,51.505497,-0.016651
0.6,51.505497,-0.016651
1,51.505497,-0.016651
0.5,51.505497,-0.016651
0,51.505497,-0.016651
0,51.505497,-0.016651
0.4787878787878788,51.505497,-0.016651
0.8,51.505497,-0.016651
1,51.505497,-0.016651
0,51.505497,-0.016651
0.975,51.505497,-0.016651
0.5,51.505497,-0.016651
0.75,51.505497,-0.016651
1,51.505497,-0.016651
0.23,51.505497,-0.016651
0,51.505497,-0.016651
0,51.505497,-0.016651
0.875,51.505497,-0.016651
0,51.505497,-0.016651
0,51.505497,-0.016651
0,51.514818,-0.011029
0.5681818181818181,51.52881,-0.005822
0,51.52881,-0.005822
0,51.507767,-0.018024
0,51.507767,-0.018024
0.35,51.507767,-0.018024
0,51.507767,-0.018024
0.5,51.53044,-0.000611
0.033333333,51.53044,-0.000611
0.033333333,51.53044,-0.000611
0.033333333,51.53044,-0.000611
0,51.53044,-0.000611
0,51.53044,-0.000611
0.6666666666666666,51.53044,-0.000611
0,51.53044,-0.000611
0,51.53044,-0.000611
0.375,51.53044,-0.000611
0.5333333333333333,51.53044,-0.000611
0.5333333333333333,51.53044,-0.000611
0,51.53044,-0.000611
0,51.53044,-0.000611
0,51.53044,-0.000611
0.4499999999999999,51.53044,-0.000611
0.4499999999999999,51.53044,-0.000611
0,51.53044,-0.000611
1,51.53044,-0.000611
-0.40625,51.515541,0.009005
0,51.515541,0.009005
0,51.515541,0.009005
-0.1,51.506768,-0.007597
0.25,51.506768,-0.007597
0.2,51.506768,-0.007597
-0.098333333,51.506768,-0.007597
0,51.506768,-0.007597
0.7,51.534102,-0.012925
0.7,51.534102,-0.012925
0.4,51.534102,-0.012925
0.7,51.534102,-0.012925
0.5,51.534102,-0.012925
51.534102,-0.012925,
51.534102,-0.012925,
0.1,51.534102,-0.012925
0.7,51.534102,-0.012925
0.375,51.527802,-0.007198
0.1666666666666666,51.527802,-0.007198
-0.5,51.527802,-0.007198
0,51.527802,-0.007198
0.05,51.527802,-0.007198
0.3125,51.50666,-0.011879
0.55,51.50666,-0.011879
0.35,51.525747,-0.007338
0,51.525747,-0.007338
0.375,51.517943,-0.002059
0,51.5204,-0.008518
0.5625,51.5204,-0.008518
0.094444444,51.5204,-0.008518
0.75,51.5204,-0.008518
0.4852272727272727,51.527489,-0.006844
0.3142857142857142,51.527489,-0.006844
0.2,51.535852,-0.012316
0.25,51.535852,-0.012316
0,51.506472,-0.018964
0,51.507876,0.0081
0,51.507876,0.0081
0.5,51.507876,0.0081
0.6499999999999999,51.52845,-0.007048
0.6,51.52845,-0.007048
-0.033333333,51.52845,-0.007048
0.65,51.52845,-0.007048
0,51.52845,-0.007048
-0.048214286,51.52845,-0.007048
0.1,51.52845,-0.007048
0.2,51.52845,-0.007048
0,51.52845,-0.007048
0.3,51.52845,-0.007048
0.2394230769230769,51.524151,-0.00781
0.006349206,51.524151,-0.00781
0,51.524151,-0.00781
0.2380952380952381,51.524151,-0.00781
0.1514285714285714,51.524151,-0.00781
0,51.524151,-0.00781
0.057777778,51.524151,-0.00781
0.4,51.524151,-0.00781
1,51.520573,-0.008625
0.2,51.520573,-0.008625
0.0875,51.520573,-0.008625
0,51.520573,-0.008625
0.35,51.520573,-0.008625
0.2,51.520573,-0.008625
0.3380952380952381,51.520573,-0.008625
0.2283333333333333,51.520573,-0.008625
0.1483928571428571,51.520573,-0.008625
0.024305556,51.520573,-0.008625
0.65,51.520573,-0.008625
-0.040740741,51.520573,-0.008625
0.2,51.507714,-0.016844
0.8,51.507714,-0.016844
1,51.507714,-0.016844
0.2,51.507714,-0.016844
0,51.507714,-0.016844
0.8,51.507714,-0.016844
0.2666666666666666,51.519138,-0.00678
0.5,51.519138,-0.00678
0.025,51.519138,-0.00678
0.05,51.519138,-0.00678
0.35,51.519138,-0.00678
0,51.519138,-0.00678
0.1666666666666666,51.519138,-0.00678
0.2,51.519138,-0.00678
0.6222222222222222,51.519138,-0.00678
0.4,51.519138,-0.00678
0,51.519138,-0.00678
0.2,51.519138,-0.00678
0.71875,51.518477,-0.003004
0,51.518477,-0.003004
0.2166666666666667,51.518477,-0.003004
0.2166666666666666,51.518477,-0.003004
0.4,51.518477,-0.003004
0.3952380952380952,51.518477,-0.003004
0.4375,51.518477,-0.003004
0,51.518477,-0.003004
