Review Id,User ID,Display Name,User Name,User Profile,User Avatar,User Location,User Is Verified,Rating,Additional Ratings,Review Title,Review Text,Helpful Votes,Photos,Stay Date,Created Date,Published Date,Language,Location,Location Id,URL
981811036,93B7A150CCABD84B12D18ECE874442DA,Quartz I,quartzi2015,https://www.tripadvisor.co.uk/Profile/quartzi2015,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg,Greater London,No,5,,Hidden Gem of London and Industrial History,"It opens as a tourist attraction April to November, on Sundays only 11am - 4PM.

I arrived at 3pm expecting a guided tour to be available as it is on most Sundays, but the workers said it was not going ahead that day.
I explained I had come especially for it, and a volunteer guide called Tony said he would give me a tour anyway.
It was excellent.

He explained the history of the mill, the milling equipment inside, the gin trade, and some social history.
He was eloquent and funny and I learnt a lot.

I really recommend a visit, to what has to be one of London's hidden gems which is overlooked by most Londoners.

After the tour I went into the cafe and had a further chat with Tony and Beverly who works there, it was great.
They were very kind to explain lots about the building and the wider site and East London in general.
I cannot thank them highly enough!

I think a typical visit would last one hour, perhaps a bit more as it is nice to have a drink in the cafe and look at a small but well stocked souvenir shop with interesting booklets about the mill and local area.

A visit could be combined with a heritage walk along the adjacent Lea river, very scenic.

The website doesn't describe how to get there well enough, so I will have a go.
I travelled using London Underground, the venue is a six to seven minute walk from the station.
Go to Bromley-By-Bow station on the Hammersmith & City and District Lines.
Exit the station, then turn left and almost immediate right into a subway under the main road flyover.
At the end of the short subway, exit and turn left and head along the slip road (Hancock Road) towards the Tesco petrol station, about a one minute walk.
Keep walking and turn right into Three Mills Lane where on your right is a large Tesco superstore.
Then there is a river, walk across the bridge over the river and The House Mill is on your left.
Press the buzzer marked ""Cafe"" on the large old blue door to get in.
On your right is another mill with a clock tower which is a different mill, and ahead of you is a security lodge.
If you get to the lodge then you have walked past the House Mill and need to turn back and walk about 30 seconds to the blue door.",0,,2024-11-30,2024-11-25,2024-11-25,en,House Mill,15001535,https://www.tripadvisor.com/ShowUserReviews-g186338-d15001535-r981811036-House_Mill-London_England.html
974724624,E7D6A45BFA2442DFB0589CC6B48867E3,Faburt,Faburt,https://www.tripadvisor.co.uk/Profile/Faburt,https://media-cdn.tripadvisor.com/media/photo-o/1a/f9/d1/a1/faburt.jpg,Cardiff,No,5,,Fascinating history of tidal energy harnessed since 1066 to produce London gin,"Please don't be put off by the website! This is the most interesting thing we've done in London so far. This ancient tidal mill is open on Sundays 11-4 pm from April to the end of Nov with the last tour at 3 pm. You do need to book via Facebook, but we got an immediate response and a warm welcome. The hour-long tour with an enthusiastic and knowledgeable volunteer guide takes you from the attic grain silos right down to the old waterwheels and includes some interesting info about the surrounding area too. Afterwards, the bargain £10 tour ticket includes a hot drink in the Millers House cafe. Alternatively, you could treat yourself to a tasty lunch or a slice of cake.",1,,2024-10-31,2024-10-20,2024-10-20,en,House Mill,15001535,https://www.tripadvisor.com/ShowUserReviews-g186338-d15001535-r974724624-House_Mill-London_England.html
906791248,D3026CD4C3FD25C0FBE2B46EF3C35DA8,leasuretaker,leasuretaker,https://www.tripadvisor.co.uk/Profile/leasuretaker,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg,,No,5,,A very enjoyable visit,"Today we visited Three Mills Island and cafe
The tour of the Tidal Mill was very interesting and informative.  We also had an excellent lunch and coffee
The Mill is I believe staffed by volunteers who are all very committed and passionate and we thoroughly enjoyed our visit
",1,https://media-cdn.tripadvisor.com/media/photo-w/29/e6/da/22/caption.jpg,2023-07-31,2023-07-30,2023-07-30,en,House Mill,15001535,https://www.tripadvisor.com/ShowUserReviews-g186338-d15001535-r906791248-House_Mill-London_England.html
896073858,AF449E095AFD20E7374EA97BD0E6C9FE,John A,G2180RFjohna,https://www.tripadvisor.co.uk/Profile/G2180RFjohna,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg,Brentwood,No,5,,U3A trip to an unknown gem,"As a group from Essex we have been exploring industrial heritage of the UK. By chance I found the House Mill and realised it would be a great venue for one of our trips. 16 of us had a brilliant tour with excellent food. Definitely worth a visit on a Sunday in the summer or to arrange a tour for a group of 12 or more.
As you will learn it is one of a very few mills powered by the tide ",1,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/86/79/15/caption.jpg,2023-06-30,2023-06-20,2023-06-20,en,House Mill,15001535,https://www.tripadvisor.com/ShowUserReviews-g186338-d15001535-r896073858-House_Mill-London_England.html
888471482,5A16DCD15838CEE2E10287D6BC85D804,hilary d,813hilaryd,https://www.tripadvisor.co.uk/Profile/813hilaryd,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg,London,No,4,,House Mill 30.4.23,We took the house mill on Sunday 30th April with another couple.Our guide was called Eleanor.The tour was very interesting.We had lunch and tea there also.A great day out!,1,,2023-04-30,2023-05-01,2023-05-01,en,House Mill,15001535,https://www.tripadvisor.com/ShowUserReviews-g186338-d15001535-r888471482-House_Mill-London_England.html
810780767,749BEE36411280414EDE20B3083F713F,Lockett15,Lockett15,https://www.tripadvisor.co.uk/Profile/Lockett15,https://media-cdn.tripadvisor.com/media/photo-s/02/a0/8f/e2/avatar.jpg,London,No,3,,Upsetting visit,"The welcome was warm when we arrived. However, we were provided with a feedback form to complete and return once the tour was finished. We didn’t have a pen, so decided to do the 21st century thing and leave a Tripadvisor feedback.
We thoroughly enjoyed the guided tour and found it both informative and enjoyable.
The guide was excellent and had an obvious passion for the mill.
Unfortunately on our departure we were accosted by an elderly lady, who asked for our feedback forms… As we were in a hurry to get back to our car to pick up our son, we begin to explain that we didn’t have time, but would leave a review. She became extremely unpleasant and assailed us with accusations of taking advantage of a free tour, without providing any kind of feedback or donation.
I think going forward that if they charged a small fee for the tour, people would know where they stand and would not have to suffer the unpleasant haranguing that we did.
A really disappointing end to a nice visit",1,,2021-09-30,2021-09-19,2021-09-19,en,House Mill,15001535,https://www.tripadvisor.com/ShowUserReviews-g186338-d15001535-r810780767-House_Mill-London_England.html
787849265,AFB38DA50B078AB3D47D63EB66CBAB99,Jane D,janeydob,https://www.tripadvisor.co.uk/Profile/janeydob,,,No,5,,Great lunch stop when walking The Line,"We came across Three Mills Island while walking part of The Line sculpture trail. Of course, due to lockdown, the mill was closed to visitors but we still had delicious sandwiches from their cafe. 

The staff were very friendly, the food was very tasty and the prices were very reasonable. 

I will try to come back when the buildings reopen.",0,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/ee/2e/d7/house-mill.jpg,2021-05-31,2021-05-03,2021-05-03,en,House Mill,15001535,https://www.tripadvisor.com/ShowUserReviews-g186338-d15001535-r787849265-House_Mill-London_England.html
700273299,AF50E057E8E4643946207A2A88399334,Will Helesfay,WillHelesfay,https://www.tripadvisor.co.uk/Profile/WillHelesfay,https://media-cdn.tripadvisor.com/media/photo-s/17/d7/f2/20/caption.jpg,,No,5,,Great little Sunday afternoon venture,This is a great place to go on a weekend for a little exploration. We had a guided tour by Robert who was very informative and gave an enjoyable presentation. All the people here are volunteers and they are hoping to revive the Mill for educational and also environmental/green energy purposes. Nice little coffee shop and garden if you just want somewhere to go and relax. Well worth supporting.,2,,2019-08-31,2019-08-18,2019-08-18,en,House Mill,15001535,https://www.tripadvisor.com/ShowUserReviews-g186338-d15001535-r700273299-House_Mill-London_England.html
685545016,39DFD6A9614F89789953C884080BF5C2,Les T,les_tate4664,https://www.tripadvisor.co.uk/Profile/les_tate4664,,,No,5,,Fascinating history,"Recommended for people interested in a bit of lesser known London history, away from the crazy crowds of the big sites.  This mill (and two others next door) played a major part in London's baking and gin history in the late 1700s.   Now run by lovely volunteers, the place is all-original, with the huge water wheels still intact.  We got a great 50 minute tour for £4!  Lots of insights into the unusual physical structure of the building, the milling process, and the insane working conditions back then.  Thanks Robert!  Good coffee and generous  sandwiches in the simple cafe at non-tourist prices. Great views of Bow River too.  Easy access from Bromley-by-Bow underground, or a nice walk from Stratford.",1,https://media-cdn.tripadvisor.com/media/photo-o/18/21/a5/df/20190630-112434-largejpg.jpg,2019-06-30,2019-06-30,2019-06-30,en,House Mill,15001535,https://www.tripadvisor.com/ShowUserReviews-g186338-d15001535-r685545016-House_Mill-London_England.html
650549314,5F09F90801AFD286FBF0843B4DEC36D5,Master Jonjon,thejonpage,https://www.tripadvisor.co.uk/Profile/thejonpage,https://media-cdn.tripadvisor.com/media/photo-o/16/bb/43/c4/thejonpage.jpg,London,No,4,,"In the lower end of Lea Valley (before it goes into Thames), there’s a number of these intrusions","... that look like peninsulas and sometimes like islands. And with a mix of canals and the real river, bridges and land masses become so indistinguishable from each other that google map would suggest you to walk home and take a nap instead.

And there’s this Three Mills Island, a man-made island in the midst of housing developments and conservations. The island can be divided into two parts, the west being a park, the east its mill factories. The clock mill is now a college. The wind mill has gone to wind mills’ virtual cemetery+. The (tidal) water mill is now an attraction, the House Mill I’m trying to tell you about all along.

The miller’s house was destroyed by Blitz bomb(s) and rebuilt as a visitor centre with a café. It connects with the Grade I listed house mill.

No access allowed without a guided tour as I was told that some of the many wooden tiles were dangerous to walk on. Having tried stepping on every pre-warned tile, I'd say they did get rough at times.

Our tour includes a model demonstration (front) of how the tidal mill is supposed to behave. As tidal water is trapped (by a gate, reservoir just upstream of the house) during high tides and subsequently released through the mill, the turning serves two function – grinding grains, as well as bringing up sacks of grain from ground floor to storage.

The mill now rests in peace (you’ll see its corpse towards the end of the tour) and the water gate is long lost. I heard restoration if barely possible would still some time far far away.

+This is a subtle way of saying that the corpse is nowhere to be found.

~master jonjon",2,,2018-04-30,2019-02-06,2019-02-06,en,House Mill,15001535,https://www.tripadvisor.com/ShowUserReviews-g186338-d15001535-r650549314-House_Mill-London_England.html
